,vehicle,level_1,datetime,speed,y,x,heading,vehicleType,time_interval,distance,heading_interval,Trip,geometry
112207,51G45780,0,2018-04-24 17:09:00,27.0,106.67887,10.772565,107.31034815514636,700,10.0,56.09712499859194,57.71577671244218,36291,POINT (10.772565 106.67887)
112208,51G45780,1,2018-04-24 17:09:10,28.0,106.67937,10.7724105,126.96934698344904,700,10.0,83.59750309967374,19.65899882830267,36291,POINT (10.7724105 106.67937)
112209,51G45780,2,2018-04-24 17:09:20,32.0,106.67997,10.77196,133.2692374828583,700,10.0,97.81167793300979,6.299890499409287,36291,POINT (10.77196 106.67997)
112216,51G45780,9,2018-04-24 17:11:00,8.0,106.68406999999999,10.768393,118.1275724960499,700,10.0,17.366303640320293,11.982439312190692,36291,POINT (10.768393 106.68407)
112354,51G46352,0,2018-04-24 20:32:12,24.0,106.6979972,10.7717366,242.0518779420108,300,1.0,7.553923449460548,104.09028196814421,36364,POINT (10.7717366 106.6979972)
112375,51G46352,21,2018-04-24 20:34:31,37.0,106.68902549999999,10.768067,221.29729229698933,300,6.0,67.44798287035546,26.432457516918788,36364,POINT (10.768067 106.6890255)
112377,51G46352,23,2018-04-24 20:34:40,41.0,106.68846857142857,10.767344142857144,198.62822335241842,300,3.0,30.958056086961818,12.888371674595275,36364,POINT (10.76734414285714 106.6884685714286)
112381,51G46352,27,2018-04-24 20:34:58,40.0,106.68799,10.765993,202.60353808105947,300,3.0,34.29472338016599,4.671780685320017,36364,POINT (10.765993 106.68799)
112392,51G46352,0,2018-04-24 21:02:18,30.0,106.6746325,10.76805225,32.53472529101633,300,4.0,40.81081992906039,292.33675540532414,36370,POINT (10.76805225 106.6746325)
112396,51G46352,4,2018-04-24 21:02:37,42.0,106.675845,10.7696915,41.95193199098218,300,3.0,37.71822269324479,4.057833718443013,36370,POINT (10.7696915 106.675845)
112400,51G46352,8,2018-04-24 21:02:52,50.0,106.6771525,10.771042999999999,46.84579445494605,300,12.0,166.71493678952862,4.400705482442788,36370,POINT (10.771043 106.6771525)
112411,51G46352,19,2018-04-24 21:04:04,32.0,106.68317,10.776213,29.34324120987321,300,17.0,76.16355767498169,19.833610209774847,36370,POINT (10.776213 106.68317)
112443,51G46352,0,2018-04-24 21:29:35,46.0,106.68128999999999,10.792110333333332,133.02416587053239,300,15.0,184.33201865848056,71.1754447167823,36378,POINT (10.79211033333333 106.68129)
